category,desc
Finance,"Initiate and drive cross-functional financial systems projects. Evaluate information gathered from multiple sources critically, identify gaps, reconcile conflicts and decompose high-level information into details to drive decision-making.
Create business cases and business requirements documents, design UAT plan and perform related testing, manage project roadmaps, prioritize initiatives and provide periodic status/progress updates. Design and maintain an effective internal control environment for the AdWords business area as well as other emerging products.
Design and implement automation and risk mitigation solutions to complex accounting processes. Identify opportunities for process improvements and drive implementation of the solutions. Work with Engineering partners to define and drive the development of Google’s business growth support infrastructure, including Data Warehousing, reporting and analytics platforms."
Finance,"Use Google’s big data (and knack for the creative) to architect metrics, solve problems, and influence executive decision-making.
Develop new tools in order to drive scalable analysis and insight.
Lead decision making on investment strategies for products, identification of key market drivers for business generation and business profitability, and resource allocation.
Partner with key stakeholders to drive strategy and business direction."
Finance,"Manage all aspects of residual payment needs and day to day operations including but not limited to creation of models, claims management, entry of data into rights management systems, coordination with payroll and responding to inquiries from both internal and external partners.
Manage workflow for residuals payment and reporting obligations for YouTube Originals. Create recommendations regarding how to create scalability and efficiency in residual management.
Represent the residuals needs internally and proactively engage cross functional teams including production, business affairs, finance and accounting.
Create one-off analysis and projects as they arise, including financial estimates, forecasts and other analytical based presentations."
Finance,"Perform detailed review of contracts during negotiation stage and provide accounting guidance on impact to revenue. Assist the deal team in structuring contract terms that meets business needs and minimize any revenue impact.
Provide documentation of non-standard technical accounting terms for contract review and provide the calculation associated with the accounting adjustments needed.
Lead process improvement initiatives regarding the deal review process, ensuring the Cloud Finance team is engaged in the beginning stage of the contract negotiation process and apprised when changes to accounting impacted contract terms are made.
Perform assigned tasks during monthly accounting close, including recording of journal entries, reconciliations, report generation and other ad hoc revenue analyses."
Finance,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Finance,"Lead cross-functional accounting projects; define, implement and maintain processes and procedures to support Alphabet governance requirements while balancing Bet-specific needs.
Influence executives and stakeholders to close gaps in control frameworks and develop scalable solutions.
Identify, create and measure process and control improvements that automate or outsource manual work, consolidate bespoke processes, and scale with Alphabet’s rapid growth.
Work with Alphabet and dedicated Bet Finance teams to evolve the Finance support model for Other Bets, and provide input into the definition of roles, responsibilities and processes between Bet teams and various Alphabet Stewardship functions."
Finance,"Design, implement and manage global processes for the accounting of Play gift card business through the performance of business, cost of transaction and accounting analyses during monthly close.
Record journal entries and performance of account reconciliations.
Perform ad-hoc accounting projects as needed to support the properly accounting of the business and cost of transaction for Play gift cards as in accordance with US GAAP (generally accepted accounting principles).
Prepare and present financials for our product area related to month-end close as well any ad hoc requests from FP&A (financial planning and analysis) and the business and product teams.
Identify opportunities and implement programs to centralize, eliminate, automate or outsource activities; Work with outsourced providers to outsource established or mature processes and manage ongoing activities."
Finance,"Engage with Partners and Industry Platforms leadership team (VP and Director level); partner cross-functionally across Sales, Marketing, Product, Finance.
Manage a team of financial analysts; define team vision, provide individual coaching.
Provide executives with insights into drivers of business performance; define and track meaningful metrics to support decision-making.
Co-drive agreements with strategic partners: model economics, structure financial terms.
Model, establish and implement sales teams compensation plans; measure investments efficiency; drive yearly planning and resource allocation (headcount and non-payroll expenses)."
Finance,"Synthesize financial theory, quantitative techniques, and systems expertise to help the company define, measure, and ultimately optimize its risk/return profile.
Perform deep, thoughtful analysis by researching and developing analytics as needed and transform the results into mission-critical production processes.
Maintain the performance and availability of various analytics tools and provide continuous improvement.
Distill and communicate the essence of your technical work to audiences of all levels and across multiple functional areas while formulating robust, actionable recommendations.
Responsible for the integration of various software components, data exchange interfaces, and the management of new analytics deployments."
Finance,"Assist in the prioritization and delivery of diverse employment tax projects; analyze large data-sets, summarize data to meaningful reports for stakeholders, and perform complex payroll tax calculations.
Ensure Auditor’s requests are responded to in a timely manner including reconciliations, data retrieval and analysis of relevant tax matters, and coordination with internal stakeholders and local in-country experts.
Coordinate with internal stakeholders on employee programs and initiatives while working with local country experts to develop tax positions to ensure compliance to local tax and reporting regulations.
Work with regional network of employment tax consultants to ensure we receive timely tax advice, excellent service and support.
Maintain records, documentation, and develop processes and procedures with a focus on continuous improvement and automation."
Business Strategy,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Administrative,"Intern projects will be determined based on the experience, skills and interests of the student. If you are interested in a particular area, please make sure to include it in your resume."
Legal & Government Relations,"Advise on compliance across all aspects of global privacy law and regulation, including data protection, retention, security and breach rules.
Provide all specialist legal advice and subject matter resources required to support all functions within Google’s global legal team.
Provide specialist consultation and support to other key functions (Privacy Engineering, Public Policy, Corporate Communications).
Assist in the continued development and improvement of all aspects Google’s privacy compliance program (data transfers, processing, privacy policies, staff training, etc)."
Legal & Government Relations,"Develop and lead public policy campaigns across the full range of policy areas that impact Google and the web. Key issues include technology innovation, open internet, privacy and intellectual property.
Engage directly with politicians and policy-makers.
Build a network of trade associations, industry partners, non-profit groups and others to support policies that will help create/maintain a user-focused online environment as well as an open Internet.
Enhance public outreach on behalf of Google including public speaking at high profile events."
Legal & Government Relations,"Review and manage trademark clearance searches, and register Google trademarks worldwide.
Police trademark infringement on a global basis and manage contested matters related to trademarks and domain names.
Provide legal counsel to Marketing and Product Development teams and others throughout the company regarding trademark issues.
Provide legal counsel on trademark intermediary liability issues, including developing removal policies, advising on removal requests and counseling product teams."
Legal & Government Relations,"Develop a range of agreements with customers and partners throughout EMEA. Maintain templates that comply with company policies and local law.
Develop expertise in relevant Google products and build strong relationships with business clients in our various EMEA offices and in the US.
Advise senior management, business clients and US legal teams on various aspects of English law.
Advise on legal issues and risks, complex agreement structures and company policies."
Legal & Government Relations,"Assess and respond to complex regulatory inquiries and investigations involving our products and businesses around the world.
Support other Legal, Product and Engineering teams involved in conducting investigations, including by developing best practices for conducting investigations, training, tracking and monitoring regulatory inquiries and investigations, and responding to matters involving heightened risk.
Work with Product, Engineering and Compliance teams proactively to advise them of regulatory risk."
Legal & Government Relations,"Conduct legal reviews of Google’s product, marketing, business and public policy initiatives, and provide solution-oriented practical advice to facilitate launches and innovation.
Ensure compliance with applicable laws across all aspects of Google’s operations in Russia and Commonwealth of Independent State (CIS).
Respond to a variety of Russian legal requests from Marketing, Business Development, Advertising Sales, Product, and other Google business clients and legal colleagues across Europe and the United States.
Work with external legal counsel on specific matters ranging from litigation and regulatory investigations to expert opinion requests."
Legal & Government Relations,"Negotiate a range of commercial agreements with customers and partners throughout EMEA and maintain templates that comply with company policies and local law.
Advise on legal issues and risks, complex agreement structures and company policies.
Develop expertise in Google Cloud Platform, Apps and other Enterprise
products and build strong relationships with business clients in our various EMEA offices.
Advise senior management, business clients on various aspects of English law, in particular data protection."
Legal & Government Relations,"Conduct reviews of advertiser and publisher ad traffic and take actions to prevent invalid activity.
Analyze traffic trends to create automated labels, models, flags and filters for detecting and preventing invalid ad traffic
Improve workflow efficiency by developing new processes and helping create better tools.
Close product abuse loopholes and resolve escalations by working directly with Engineering and Product teams
Educate internal stakeholders and external users by working with Legal and Sales teams to create messaging and communications."
Legal & Government Relations,"Consult on a range of commercial agreements with customers and partners throughout EMEA and maintain templates that comply with company policies and local law.
Advise on legal matters, complex agreement structures and company policies.
Develop expertise in Google Cloud Platform, Apps and other Enterprise.
Advise management, business clients on various aspects of English law, in particular data protection."
Legal & Government Relations,"Manage legal removals requests and processes. Analyze and resolve requests including copyright, defamation, data protection or government requests.
Provide exceptional and responsive user support in helping to resolve legal issues.
Analyze and lead escalations of government requests, liaising with Product, Policy, Communications and Legal teams. Balance various legal considerations in order to effectively resolve issues.
Develop and launch scalable policies and processes for handling large volumes of requests based on regional trends. Drive innovation regarding processes and best practices for implementing policies across regions.
Facilitate communication of process and policy to internal and external customers and conduct regular data analysis to ensure consistency of decision-making and to identify regional trends."
Legal & Government Relations,"Define, launch and drive strategic and operational initiatives.
Develop work plans, gather and synthesize relevant data, lead analyses, develop final recommendations and implement solutions.
Identify, track and report on key operational and substantive metrics for the practice group that will better inform decision-making, including matter and work product analyses.
Manage development and tracking of team goals, and provide project management support.
Provide guidance on technology and systems in partnership with Legal IT, to improve team efficiency and effectiveness. Manage design, rollout and training for new systems."
Legal & Government Relations,"Negotiate and draft a variety of commercial agreements.
Conduct legal reviews of Google’s product, marketing and business initiatives, and work in consultation with Google’s government affairs representatives to provide solution-oriented practical advice to facilitate launches and innovation.
Advise senior management and cross-functional project teams in Asia Pacific and the USA with regard to potential legal risks. Ensure compliance with applicable laws across all aspects of Google’s operations in region.
Respond promptly to a wide range of legal requests from Sales, Engineering, Product Management, Marketing, Finance and other functional groups.
Work with external legal counsel on specific matters ranging from litigation to expert advice requests."
Legal & Government Relations,"Advise on compliance across all aspects of global privacy law and regulation, including data protection, retention, security and breach rules.
Provide all specialist legal advice and subject matter resources required to support all functions within Google’s global legal team.
Provide specialist consultation and support to other key functions (Privacy Engineering, Public Policy, Corporate Communications).
Assist in the continued development and improvement of all aspects Google’s privacy compliance program (data transfers, processing, privacy policies, staff training, etc)."
Legal & Government Relations,"Conduct internal research and investigations related to consumer complaints and small claims matters, including attending hearings.
Supervise and advise on Google document retrieval and document production processes, and coordinate with external legal counsel on litigation, regulatory matters and specific assignments, including reviewing preliminary advice and providing internal recommendations.
Work collaboratively with teams in Legal, as well as other groups at Google, to ensure our internal systems work well with our discovery and fact-finding procedures; create and maintain internal resources to increase team efficiency and information sharing.
Assist in managing document preservation, collection, review and production procedures.
Assist the Lead Attorneys, based in offices globally, with factual investigations to respond to threats and/or active litigation, including responding to discovery requests and subpoenas for domestic and foreign jurisdictions."
Legal & Government Relations,"Advise on compliance across all aspects of global privacy law and regulation, including data protection, retention, security and breach rules.
Provide all specialist legal advice and subject matter resources required to support all functions within Google’s global legal team.
Provide specialist consultation and support to other key functions (Privacy Engineering, Public Policy, Corporate Communications).
Assist in the continued development and improvement of all aspects Google’s privacy compliance program (data transfers, processing, privacy policies, staff training, etc)."
Legal & Government Relations,"Review, draft and develop commercial agreements and related documentation. Assist Ads lawyers with complex agreements and projects.
Help organize and streamline the Ads Legal team’s processes and procedures, including by maintaining documentation, guidance and template language, and by preparing and presenting training materials.
Respond to legal requests from Sales, Business Development, Marketing and other clients, summarizing and communicating legal concepts that business people can understand and use.
Advise business clients on the legal issues and risks, approval processes, company policies and procedures."
Finance,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Finance,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Legal & Government Relations,"Consult on and draft agreements relating to the development, production and exploitation of scripted and unscripted content (including format and rights acquisition, development, writer, director and talent, production services and distribution agreements).
Respond to legal requests from the YouTube Originals team, along with other areas of YouTube (including content partnerships, marketing and other clients), analyzing, summarizing and communicating legal concepts.
Perform production legal work.
Develop and lead processes in managing contracts and contract templates, copyright filings, chain-of-title documents and other documentation.
Ensure that agreements and initiatives comply with company policies and risk tolerance."
Legal & Government Relations,"Assist senior political law counsel in all aspects of the ethics and compliance programs aimed to ensure compliance with U.S. federal, state and local laws pertaining to government ethics, lobbying and campaign finance. Also assist in compliance with non-U.S. lobbying laws.
Provide timely, practical legal advice to a broad array of stakeholders from various business verticals, public policy teams, and commercial legal teams.
Design and manage user-focused and scalable compliance processes and training.
Oversee federal, state and local political law filings.
Assist with other compliance programs as requested."
Legal & Government Relations,"Negotiate a range of agreements with customers and partners throughout EMEA and maintain templates that comply with company policies and local law.
Develop expertise in Google Cloud Platform and other enterprise products. Build strong relationships with Cloud Platform business clients in our various EMEA offices and in the US.
Advise senior management, business clients and US legal teams on various aspects of English law, in particular data protection.
Advise on legal issues and risks, complex agreement structures and company policies."
Legal & Government Relations,"Review and process legal removal requests, including government requests.
Manage legal matters of moderate impact, risk, and complexity with limited oversight.
Assist with the creation of documentation for existing and new policies and procedures.
Proactively implement system or process enhancements to manage workflow more effectively.
Serve as a Team Lead directly managing other team members; support and motivate team to achieve high quality results."
Legal & Government Relations,"Review, draft and manage cloud services agreements, business associate agreements, professional services agreements, partnership and reseller agreements and support the continuous improvement of standard form agreements and legal processes.
Advise your business colleagues and other cross functional stakeholders on legal issues and risks, approval processes, company policies and procedures, intellectual property (IP) and business strategy.
Respond promptly to legal requests from Sales and other clients, summarizing and communicating legal concepts that business people can use.
Manage agreements that comply with company policies and risk tolerance.
Support the continuous improvement of standard form agreements and legal processes."
Legal & Government Relations,"Manage legal removals requests and processes. Analyze and resolve requests including copyright, defamation, data protection or government requests.
Provide exceptional and responsive user support in helping to resolve legal issues.
Analyze and lead escalations of government requests, liaising with Product, Policy, Communications and Legal teams. Balance various legal considerations in order to effectively resolve issues.
Develop and launch scalable policies and processes for handling large volumes of requests based on regional trends. Drive innovation regarding processes and best practices for implementing policies across regions.
Facilitate communication of process and policy to internal and external customers, and conduct regular data analysis to ensure consistency of decision-making and to identify regional trends."
Legal & Government Relations,"Present business results and detail reviews to upper level management.
Support new and existing products by working cross-functionally with Product, Engineering, Legal, Internal Audit, External Reporting, Technical Accounting and other Finance teams to manage financial risk, and develop and maintain scalable accounting processes.
Develop and present a range of key business goals.
Ensure cost effective performance and on-time delivery of financial information by effective management of our financials.
Recognize potential areas of risk and develop risk management solutions."
Legal & Government Relations,"Ensure compliance with U.S. and international laws and regulations dealing with intellectual property, privacy, content regulation, consumer protection and advertising.
Provide legal advice to teams from Engineering, Product Management, Advertising Sales, Marketing and Communications from the initial stages of product development to launch.
Develop and maintain a repository of legal resources that are required for products, such as terms of service, privacy notices and other disclosures.
Respond promptly to a wide range of legal requests from Engineering, Product Management, Advertising Sales, Marketing, Client Services and other business groups."
Legal & Government Relations,"Coordinate Legal operations escalations across the Asia Pacific region, working with local and global stakeholders in the Legal, PR, Policy departments. Communicate effectively with English and Korean speaking clients.
Handle escalations from external and internal parties. Use that input to feed into operational and communications improvement plans.
Partner with Legal, Policy, Engineering, Vendor operations, and Analytics team to define define the best plan and implement fast.
Deliver performance end-to-end (quality, productivity, and cost), around the globe, in partnership with key cross-functional partners. Drive data-based decisions and implement key changes to improve performance.
Review of graphic, controversial, and sometimes offensive and disturbing video content will be involved in this job."
Legal & Government Relations,"Serve as a Team Lead directly managing other team members; support and motivate team to achieve high quality results.
Manage legal matters of moderate impact, risk, and complexity with limited oversight.
Implement system or process enhancements to manage workflow more effectively. Assist with the creation of documentation for existing and new policies and procedures.
Lead culture initiatives for global team of legal assistants.
Review graphic, controversial, and sometimes offensive content in line with Google legal policies."
Legal & Government Relations,"Review, draft and consult commercial agreements and related documentation. Assist Cloud lawyers with complex deals and projects.
Help organize and streamline the Cloud Legal team’s processes and procedures, including by maintaining documentation, guidance and template language, and by preparing and presenting training materials.
Respond to legal requests from Sales, Business Development, Marketing and other clients, summarizing and communicating legal concepts that business people can understand and use.
Advise business clients on the legal issues and risks, approval processes, company policies and procedures."
Legal & Government Relations,Perform various related tasks and assignments that the in-house Legal team may request during the Legal Internship.
Legal & Government Relations,"Develop and lead public policy campaigns across the full range of policy areas that impact Google and the web; key issues include technology innovation, free expression, privacy and intellectual property.
Engage directly with external stakeholders and policy-makers.
Build a network of trade associations, industry partners, non-profit groups and others to support policies that will help create/maintain a user-focused online environment as well as an open Internet."
Legal & Government Relations,"Negotiate and draft a variety of commercial agreements.
Advise on all legal issues and risks related to our businesses - approval processes, company policies and procedures, IP and business strategy.
Develop process and policy improvements to mitigate litigation risks.
Manage regulatory matters and litigation.
Provide legal advice to teams from Engineering, Product Management, Advertising Sales, Marketing and Communications from the initial stages of product development to launch and beyond."
Legal & Government Relations,"Provide advice, legal direction, and training on international laws and regulations related to the development and commercialization of health technologies, including privacy, product liability, fraud and abuse, research on bio-specimens, and FDA labeling and promotional matters.
Review, draft and manage licenses and intellectual property agreements with potential partners in compliance with applicable law.
Develop and maintain legal resources that are required for products, such as terms of service, privacy notices and other disclosures.
Advise business clients, as well as Finance and other company colleagues, on the legal issues and risks, approval processes, company policies and procedures, IP and business strategy.
Manage agreements that comply with company policies, risk tolerance and local law."
Legal & Government Relations,"Negotiate and draft a variety of commercial agreements.
Manage regulatory matters, litigation, and compliance with laws and regulations in Hong Kong, Taiwan, and Mainland China pertaining to privacy and data use, intellectual property, consumer protection, hardware, and advertising.
Provide legal advice to teams from Engineering, Product Management, Advertising Sales, Marketing and Communications from the initial stages of product development to launch and beyond.
Advise on all legal issues and risks related to our businesses - approval processes, company policies and procedures, IP and business strategy.
Develop process and policy improvements to mitigate litigation risks."
Legal & Government Relations,"Conduct legal reviews of products, marketing and business initiatives and work in consultation with government affairs representatives to provide solution-oriented practical advice to facilitate launches and innovation in Southeast Asia.
Advise management and cross-functional project teams in Asia Pacific and USA with regard to potential legal risks in Southeast Asia.
Respond to a wide range of legal requests from Sales, Engineering, Product Management, Marketing, Finance and other functional groups.
Work with external legal counsel on specific matters ranging from regulatory issues to expert advice requests. Communicate effectively with Bahasa Melayu and/or Mandarin speaking clients.
Liaise with regulators and authorities in Southeast Asia, manage regulatory inquiries and autonomously run matters relating to Google’s products and operations in Southeast Asia. Review proposed/draft legislation and work with our Policy team to advocate for improvements to the proposed/draft laws."
Finance,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Legal & Government Relations,"Manage incoming legal and litigation matters and respond to them directly or in cooperation with other internal teams.
Process incoming documents and liaise with internal teams and external counsel, to ensure compliance. Provide legal advice to teams in regards to French procedural rules and international judicial cooperation as required.
Manage litigation matters, to ensure internal coordination for consistent security; conduct legal research and analysis.
Contribute to the definition, implementation and improvement of local product and content policies.
Provide legal support to the Legal team as required, including internal reporting and the building of an internal legal knowledge base."
Legal & Government Relations,"Recruit, retain, and performance-manage a team of experts in driving sales impact through channel partners in Government
Develop and maintain business plans with focus Partners, establishing clear, mutual commitments around marketing, readiness/skills development, services offerings, and sales. Broker internal resources, tools, references and/or investments needed to execute on the business plans in order to help partners meet the set goals.
Review partner plans in clear periodic Business Reviews with the partner to monitor progress and establish corrective actions as needed. Drive execution across activities involved in the completion of commitments and goals established in the Business Plan, including coordination of the Google investments, lead generation-related activities, training and readiness, and certification of technical and sales resources, while maintaining a clear view of the return on mutual investments.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’’s Cloud Platform technologies to partners, to help them scale our joint business. Work with partners to maintain a healthy pipeline as indicated by velocity and coverage ratio versus the established business goals and organize regular pipeline reviews to ensure pipeline information is thorough and accurate according to Google’s solution selling stages.
Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s cloud infrastructure offerings. Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google cloud products; development of Google reference architectures and solutions; and commitment of partner resources to Google product sales and implementation for end customers."
Legal & Government Relations,"Negotiate a range of agreements with customers and partners throughout EMEA, and maintain templates that comply with company policies and local law.
Develop expertise in relevant Google products, and build strong relationships with business clients in our various EMEA offices and in the US.
Advise senior management, business clients and US legal teams on various aspects of English law.
Advise on legal issues and risks, complex agreement structures and company policies."
Legal & Government Relations,"Consult on a range of agreements with customers and partners, and maintain templates that comply with company policies and French law.
Develop expertise in relevant Google products and build relationships with business clients.
Advise Management teams, business clients and UK/US legal teams on various aspects of French law.
Advise on legal issues and risks, complex agreement structures and company policies."
Legal & Government Relations,"Review, draft and manage licenses and intellectual property agreements, advertising services agreements on a daily basis.
Manage agreements that comply with company policies and risk tolerance.
Respond promptly to legal requests from Licensing, Business Development, Advertising Sales, Marketing and other clients, summarizing and communicating legal concepts that business people can use.
Advise business clients, as well as Finance and other company colleagues, on the legal issues and risks, approval processes, company policies and procedures, IP and business strategy.
Support the continuous improvement of standard form agreements and legal processes."
Finance,"Job responsibilities and detailed projects will be determined based on your educational background, interests and skills."
Legal & Government Relations,"Consult on a range of commercial agreements with partners throughout EMEA and maintain templates that comply with company policies and local law.
Advise on legal challenges, risks, complex agreement structures and company policies.
Advise management and business clients on various aspects of English and European law.
Assist policy, competition and payments teams in connection with Mobile."
Legal & Government Relations,"Answer a variety of German and European legal requests from Marketing, Business Development, Advertising Sales, Product, and other Google business clients and legal colleagues across Europe and the United States.
Draft and consult on commercial agreements, and maintain templates that comply with company policies and local law.
Advise management, business clients and legal teams on various aspects of German law.
Support litigation matters and regulatory investigations.
Develop expertise in a range of Google products and build relationships with business clients and legal colleagues in our various international offices."
Legal & Government Relations,"Advise management on legal challenges and agreement structures relating to original programming.
Structure, consult, draft and supervise agreements relating to the development, production and exploitation of scripted and unscripted content (including format and rights acquisition agreements, development agreements, writer, director and talent agreements, production services agreements and distribution agreements).
Respond to legal requests from the YouTube Originals team, along with other areas of YouTube (including content partnerships, marketing and other clients), analyzing, summarizing and communicating legal concepts.
Oversee production legal work.
Ensure that agreements and initiatives comply with company policies and risk tolerance."
Legal & Government Relations,"Ensure compliance with EU laws and regulations pertaining to privacy and data use, including the General Data Protection Regulation (GDPR).
Coordinate the GDPR-related efforts of existing Product Counsel within Ads, including our sub-processor work-streams and building scalable, in-product acceptance mechanisms.
Draft agreement language for Ads products pertaining to GDPR compliance.
Develop resources, both internal and external, for Sales teams to use in answering GDPR questions from clients and assist Sales teams in engaging with Ads clients that have questions concerning GDPR compliance.
Serve as the GDPR liaison between Ads and other functions (both Legal and non-Legal)."
Finance,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
Legal & Government Relations,"Serve as a Team Lead directly managing other team members; support and motivate team to achieve high quality results.
Manage legal matters of moderate impact, risk, and complexity with limited oversight.
Implement system or process enhancements to manage workflow more effectively. Assist with the creation of documentation for existing and new policies and procedures.
Lead culture initiatives for global team of legal assistants.
Review graphic, controversial, and sometimes offensive content in line with Google legal policies."
Legal & Government Relations,"Generate plan to ensure broad engagement with large accounts within the territory.
Develop and provide custom presentations on Google Cloud solutions to customers.
Develop strategies to achieve strategic business goals.
Gather, manage and direct a virtual team.
Work collaboratively with your team to grow the business with new and existing customers."
Legal & Government Relations,"Generate plan to ensure broad engagement with large accounts within the territory.
Develop and provide custom presentations on Google Cloud solutions to customers.
Develop strategies to achieve strategic business goals.
Gather, manage and direct a virtual team.
Work collaboratively with your team to grow the business with new and existing customers."
People Operations,"Recruit top talent and achieve quarterly hiring goals.
Provide an efficient and high-touch experience for every candidate from application stage to offer, evaluating skill level, driving the interview process and offer process, including reference checks, salary recommendations and closing of candidates.
Negotiate complex offers to close candidates by leveraging your experience with competing for top technical talent.
Communicate effectively with the interview team to ensure preparedness during the interview process. Share and exchange information with all levels of management."
People Operations,"Create and implement staffing processes and business strategies to achieve an annual hiring plan that emphasizes quality and speed of hires and strong client management culture.
Work closely with business leaders, HR business partners, and Finance to ensure that the staffing organization is able to support business growth.
Manage and inspire a team to deliver results while effectively communicating all critical dimensions of staffing vision, status and business plans with leadership team a broader audience as required.
Collaborate with and influence complex partner relationships within the organization.
Get to the root cause of any issue to solve problems, no matter how complex, and design and implement solutions that cut across multiple disciplines."
People Operations,"Build comprehensive work plans and collaborate with cross-functional teams to accomplish program objectives.
Use analytical rigor to inform decisions, provide insights, and tell a compelling, data-driven story to our users.
Scale solutions globally across Staffing Services Team, GPS, and Google by developing strategic communication plans to influence key stakeholders.
Develop domain expertise across various GPS roles and systems and build strong partnerships with other GPS leaders to proactively identify opportunities for further process improvement.
Lead projects to build robust and efficient interviewer pools in key Product Areas and equitably distribute interviewer workloads."
Finance,Google interns are given a lot of responsibility and the opportunity to provide a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.
People Operations,"Provide responsive, relationship-based care and create a stimulating environment for children. Develop creative and age appropriate activities based on child's interests. Create a nurturing environment for play and exploration for children.
Build and nurture partnerships with parents, including parent communication and involvement.
Work in a collaborative relationship with other staff in classroom and with management team.
Perform regular maintenance/cleaning tasks e.g. arranging the classroom and the yard each evening and each morning, moving light weight furniture, picking up toys, picking up boxes, emptying the contents, breaking down boxes.
Adheres to procedures related to supervision, boundaries and safety of children at all times. Follow mandated reporting requirements as stated by CA licensing and best practices"
People Operations,"Source and attract candidates for Google Cloud across APAC through networking, sourcing, direct approach, referrals, university relations, etc.
Manage market/industry mapping for your assigned portfolio.
Manage candidate processes and act as a candidate advocate. Evaluate skill level and manage the offer process, including reference checks, salary recommendations and offer acceptance/declines.
Improve the candidate, new hire, hiring manager and recruiter experience.
Follow-up with clients to confirm that staffing plans and candidate needs are met."
People Operations,"Evolve and develop staffing processes that maintain Google’s hiring approach that is designed to support our changing business needs.
Work closely with business leaders, HR business partners, and Finance to ensure that the staffing organization is able to support business growth.
Lead and manage a high performing team.
Continue to evolve and manage our Tech Staffing employee development programs.
Build and oversee a Google talent experience that is unprecedented in the market."
People Operations,"Design and implement end-to-end processes focused on solving user needs
Scale existing processes for growing and/or changing user needs
Perform operational duties required to keep the process running without error or negative impact
Provide personal support to Googlers needing assistance
Leverage technical abilities to automate tasks"
People Operations,"Drive the risk strategy and establish guidelines to support our risk management efforts in the extended or contingent workforce space.
Develop and maintain strong relationships with our partners in Employment Legal, Employee Relations and Ethics and Compliance in order to effectively conduct investigations focused on consistent, legally defensible and Googley outcomes for infractions of Google’s policies.
Manage TVC process and policy training including conducting training, supporting suppliers and internal groups' training efforts for TVC population (e.g., Ethics and Compliance).
Develop data-driven solutions focused on influencing contingent workforce policy initiatives, training, systems and process improvements."
People Operations,"Partner with the other Global Investigations teams to ensure HR processes in EMEA are handled effectively and that appropriate recommendations are made consistent with local legal requirements and Google policy.
Develop and provide training and guidance to managers involved in employee relations processes.
Provide pragmatic advice and counsel to People Partners and People Consultants on a wide range of employee relations challenges in EMEA.
Provide guidance to People Partners, People Consultants and the business on reorganizations and restructuring within EMEA.
Support the development of employee relations capability among People Partners, Consultants and managers in EMEA through education and training. Track, analyze and interpret team metrics to provide insights on trends and opportunities to People Partners, Consultants and the business."
People Operations,"Apply a unique mix of business strategy, marketing strategy, and analysis skills to help us build the business of online hiring.
Lead hypothesis-driven analyses to find new areas for growth.
Lead user-centric analyses and drive change based on a deeper understanding of a Google applicant’s journey.
Design and implement valuation and measurement strategies to guide our investments and optimize our performance; develop and maintain online hiring dashboards, and support marketing portfolio planning and budget management.
Create long-term processes allowing for scalability and innovation."
People Operations,"Provide HR support and consultation to our Googler and Manager clients, answering employee and manager questions about HR programs, policies, and other HR-related items (Perf, Comp, career goals, etc.).
Advise on performance management issues (i.e. PIP or PEPs) and lead minor investigations and reorganizations.
Assist People Partners with planning and roll-out of HR programs and initiatives.
Triage Googler enquiries via our internal systems and connect Googlers to the right subject-matter expert when necessary.
Identify opportunities to improve HR policies by gaining insights across multiple experiences of Googlers/Managers. Identify and propose solutions to correct inconsistent HR policies and gaps."
